SYMBOL,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,IPI,UNIGENE,UNIPROT
FRMD6,ENSG00000139926,,,122786,,Hs.434914,Q96NE9
LAMP1,ENSG00000185896,,,3916,,Hs.494419,A0A024RDY3
TPK1,ENSG00000196511,ENSP00000495292,ENST00000642750,27010,IPI00418733,Hs.660232,F5GZG6
SMARCD3,ENSG00000082014,,,6604,IPI00106988,Hs.647067,Q6STE5
WDR82,ENSG00000164091,,,80335,,Hs.194110,A0A024R333
RIPPLY2,ENSG00000203877,ENSP00000358703,ENST00000369689,134701,,Hs.149454,Q5TAB7
SIN3A,ENSG00000169375,,,25942,,Hs.513039,Q96ST3
AKR1C4,ENSG00000198610,,,1109,IPI00289524,Hs.567245,P17516
TCTE3,ENSG00000184786,ENSP00000355736,ENST00000366774,6991,,Hs.733746,Q8IZS6
SHISAL1,ENSG00000138944,ENSP00000370568,ENST00000381176,85352,,Hs.6829,Q3SXP7
EIF4A2,ENSG00000156976,,,1974,,Hs.518475,Q14240
CEP72,ENSG00000112877,ENSP00000264935,ENST00000264935,55722,,Hs.591741,Q9P209
BEST1,ENSG00000167995,,,7439,,Hs.524910,O76090
URB2,ENSG00000135763,ENSP00000258243,ENST00000258243,9816,,Hs.533628,Q14146
OCSTAMP,ENSG00000149635,ENSP00000279028,ENST00000279028,128506,,Hs.526636,Q9BR26
INTS9,ENSG00000104299,,,55756,,Hs.162397,Q9NV88
FDX1,ENSG00000137714,ENSP00000260270,ENST00000260270,2230,,Hs.744,P10109
POM121L2,ENSG00000158553,ENSP00000415181,ENST00000429945,94026,IPI00307009,Hs.729955,Q96KW2
DHX57,ENSG00000163214,,,90957,,Hs.468226,Q6P158
CRTAP,ENSG00000170275,,,10491,,Hs.517888,O75718
NEU4,ENSG00000204099,ENSP00000486602,ENST00000630923,129807,,Hs.551747,B3KR54
PRAME,ENSG00000185686,ENSP00000484066,ENST00000617728,23532,,Hs.30743,A0A024R1E6
MAP6D1,ENSG00000180834,ENSP00000314560,ENST00000318631,79929,,Hs.478465,Q9H9H5
NEURL1,ENSG00000107954,,,9148,,Hs.594708,B4DS86
GOLGA8K,ENSG00000249931,ENSP00000426691,ENST00000512626,653125,,,
SEC22A,ENSG00000121542,,,26984,IPI00063881,Hs.477361,Q96IW7
TMEM201,ENSG00000188807,,,199953,,Hs.632365,Q5SNT2
TRAV24,,,,28659,,,
AVL9,ENSG00000105778,,,23080,,Hs.128056,A0A024RA36
UPF1,ENSG00000005007,,,5976,,Hs.515266,A0A024R7L8
IDI2,ENSG00000148377,ENSP00000277517,ENST00000277517,91734,IPI00018740,Hs.9270,Q9BXS1
MAD2L1BP,ENSG00000124688,,,9587,,Hs.122346,Q15013
