"SYMBOL","ENTREZID","UNIPROT"
"xylR",948086,"P0ACI3"
"nupX",946655,"P33021"
"yjhD",948809,"P39354"
"rihB",946646,"C4ZU12"
"yciQ",945850,"P45848"
"glsA2",,"P0A6W0"
"yoaH",946346,"C4ZZG7"
"ispH",944777,"P62623"
"dppD",948065,"P0AAG0"
"yhaH",947617,"P64590"
"mreB",948588,"P0A9X4"
"glmU",948246,"P0ACC7"
"trmO",,"P28634"
"treB",948761,"P36672"
"mcrC",948880,"P15006"
"hemX",948446,"P09127"
"sgcE",948829,"P39362"
"ilvG",2847699,"P0DP89"
"yhdV",947767,"P64622"
"exbB",945420,"P0ABU7"
"envY",949114,"P10805"
"metC",946240,"P06721"
"mocA",947356,"Q46810"
"sdaC",947264,"P0AAD6"
"fabZ",944888,"B1XD49"
"yidK",948185,"P31448"
"mdtC",946608,"C4ZSG4"
"ycjN",945696,"P76042"
"ymcE",946951,"P0AAA5"
"rpsU",947577,"C4ZQY2"
"yqgB",947433,"P64567"
"agaB",947653,"P42909"
"ylbE",4056025,"P77129"
"rsxB",946146,"C4ZY91"
"hemG",948331,"P0ACB4"
"gutM",,"P15081"
"yqeB",947357,"Q46808"
"yraQ",947668,"P45468"
"trmA",947143,"C5A0R4"
"rzpD",945929,"P75719"
"dapE",948313,"B1XAE3"
"rutA",945643,"B1X9D3"
"ydfA",946082,"P0ACW8"
"mltC",945428,"C5A0N2"
"glk",946858,"C4ZVS5"
"ygdG",947256,"P38506"
"rpmE",948425,"C5A0A3"
"ygjQ",947598,"P42598"
"trpE",945846,"P00895"
"yeiE",946657,"P0ACR4"
"chaC",945793,"P39163"
"glmM",947692,"C4ZSR5"
"flgE",945636,"P75937"
"csrD",947702,"P13518"
"gcvH",947393,"C5A0H6"
"torR",946182,"P38684"
"tyrR",945879,"P07604"
"rsmI",947664,"P67087"
"glgC",947942,"C4ZVY0"
"pgpC",947026,"P0AD42"
"yaiW",945038,"P77562"
"rpsI",949000,"C4ZSW8"
"mngB",945359,"P54746"
"dcyD",946831,"B1X677"
"cyaA",947755,"P00936"
"yqeJ",947328,"Q46943"
"rplJ",948490,"C5A0S5"
"fhuA",944856,"P06971"
"mlaD",947712,"P64604"
"insH7",,"P0CE54"
"gspI",947833,"P45760"
"yfdR",946834,"P76514"
"leuO",949034,"P10151"
"yhjR",948051,"P0ADJ3"
"stfR",945207,"P76072"
"yhdJ",947695,"P28638"
"accD",946796,"P0A9Q5"
"yecR",946386,"P76308"
"tnaA",948221,"C4ZYY6"
"sdhC",945316,"P69054"
"yjiK",948957,"P39382"
"cusA",945191,"P38054"
"hsrA",948265,"P31474"
"xdhA",947116,"Q46799"
"metR",948310,"P0A9F9"
"yfcL",946804,"P64540"
"ssuD",945557,"B1X8N9"
"hyfI",946966,"P77668"
"ycjG",946013,"P51981"
"tdcA",947494,"P0ACQ7"
"nfrB",945849,"P0AFA5"
"fumD",,"P0ACX5"
"ogrK",945404,"P37057"
"frlC",2847758,"P45541"
"rplS",947096,"P0A7K6"
"citD",945415,"P69330"
"ymfE",946722,"P75968"
"cysJ",947239,"P38038"
"yfhR",945059,"P77538"
"hexR",,"P46118"
"ftsL",944803,"P0AEN4"
