FLYBASE,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,SYMBOL,UNIGENE,UNIPROT
FBgn0031690,FBgn0031690,FBpp0309717,FBtr0342940,33750,CG7742,Dm.4288,Q9VMT4
FBgn0038032,FBgn0038032,FBpp0312434,FBtr0347002,3772183,CG10096,Dm.7932,Q9VG87
FBgn0026317,FBgn0026317,FBpp0083931,FBtr0084546,42862,Tsc1,Dm.3097,Q9VCC9
FBgn0036483,FBgn0036483,FBpp0075404,FBtr0075651,39650,CG12316,Dm.11998,Q9VUL6
FBgn0262782,FBgn0262782,FBpp0311560,FBtr0345435,34414,Mdh1,Dm.11601,Q9VKX2
FBgn0051740,FBgn0051740,FBpp0080581,FBtr0081028,261618,CG31740,Dm.5035,Q8T403
FBgn0038359,FBgn0038359,FBpp0082625,FBtr0083171,41906,CG5614,Dm.13321,Q9VF40
FBgn0066292,FBgn0066292,FBpp0305163,FBtr0332945,2768715,CheB42c,Dm.10850,A1Z6S2
FBgn0030277,FBgn0030277,FBpp0312026,FBtr0346269,32059,CG1394,Dm.7654,Q9VZ18
FBgn0033729,FBgn0033729,FBpp0311713,FBtr0345652,36352,Cpr49Af,,A1Z8Z2
FBgn0061435,FBgn0061435,FBpp0289401,FBtr0300124,251324,CG30270,Dm.5549,Q8MME3
FBgn0025697,FBgn0025697,FBpp0079088,FBtr0079464,34024,santa-maria,,Q9VM10
FBgn0027594,FBgn0027594,FBpp0306205,FBtr0334080,38218,drpr,Dm.3167,M9NEX8
FBgn0038839,FBgn0038839,FBpp0312606,FBtr0347575,42475,Ktl,Dm.1268,Q9VDH3
CG43190,,,,,,,
FBgn0029864,FBgn0029864,FBpp0070866,FBtr0070901,31574,CG15894,,A8JUZ7
FBgn0259878,FBgn0259878,FBpp0309015,FBtr0339996,2768836,Fs,Dm.19933,A0A0B4LFH4
FBgn0035540,FBgn0035540,FBpp0303212,FBtr0330179,38541,Syx17,Dm.2558,M9PEM1
FBgn0033981,FBgn0033981,FBpp0086586,FBtr0087456,36665,Cyp6a21,Dm.26313,Q9V774
FBgn0046323,FBgn0046323,FBpp0312331,FBtr0346720,3355174,ORY,,Q5LJN3
FBgn0003130,FBgn0003130,FBpp0086446,FBtr0087311,36741,Poxn,Dm.4653,P23758
FBgn0033437,FBgn0033437,FBpp0087586,FBtr0088502,35996,CG12926,Dm.5479,A1Z7X8
FBgn0032260,FBgn0032260,FBpp0079627,FBtr0080037,34444,CG13144,Dm.27676,Q9VKU4
FBgn0026404,FBgn0026404,FBpp0076076,FBtr0076347,39173,Dronc,Dm.3230,Q9XYF4
FBgn0038630,FBgn0038630,FBpp0083056,FBtr0083636,42233,CG14305,Dm.7504,Q9VE58
FBgn0038928,FBgn0038928,FBpp0083574,FBtr0084176,42594,Fadd,Dm.1273,H0RN71
