SGD,COMMON,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,UNIPROT
S000003297,VHT1,YGR065C,YGR065C_mRNA,YGR065C_mRNA,852956,P53241
S000001923,CTF7,YFR027W,YFR027W_mRNA,YFR027W_mRNA,850584,P43605
S000003079,NSA1,YGL111W,YGL111W_mRNA,YGL111W_mRNA,852767,P53136
S000006392,MLC2,YPR188C,YPR188C_mRNA,YPR188C_mRNA,856318,Q06580
S000002156,L19A,YBL027W,YBL027W_mRNA,YBL027W_mRNA,852379,P0CX82
S000000251,FMP23,YBR047W,YBR047W_mRNA,YBR047W_mRNA,852336,P38231
S000003161,,YGL193C,YGL193C_mRNA,YGL193C_mRNA,852682,P53097
S000006300,,YPR096C,YPR096C_mRNA,YPR096C_mRNA,856211,O13587
S000000904,RPS8B,YBL072C,YBL072C_mRNA,YBL072C_mRNA,856839,P0CX39
S000028694,,YMR242W-A,YMR242W-A_mRNA,YMR242W-A_mRNA,1466505,Q8TGS6
S000000217,,YBR013C,YBR013C_mRNA,YBR013C_mRNA,852300,P38215
S000000188,L32,YBL092W,YBL092W_mRNA,YBL092W_mRNA,852185,P38061
S000005167,APG4,YNL223W,YNL223W_mRNA,YNL223W_mRNA,855498,P53867
S000002760,YPQ2,YDR352W,YDR352W_mRNA,YDR352W_mRNA,851954,Q06328
S000003927,ORC3,YLL004W,YLL004W_mRNA,YLL004W_mRNA,850656,P54790
S000003098,CEG1,YGL130W,YGL130W_mRNA,YGL130W_mRNA,852747,Q01159
S000002618,,YDR210W,YDR210W_mRNA,YDR210W_mRNA,851790,Q03482
S000001551,FG-nucleoporin NUP100,YKL068W,YKL068W_mRNA,YKL068W_mRNA,853796,Q02629
S000002988,GET complex subunit GET1,YGL020C,YGL020C_mRNA,YGL020C_mRNA,852864,P53192
S000003413,TIM13,YGR181W,YGR181W_mRNA,YGR181W_mRNA,853093,P53299
S000004211,RSA3,YLR221C,YLR221C_mRNA,YLR221C_mRNA,850918,Q05942
S000028517,YBL039W-A,YBL039W-B,YBL039W-B_mRNA,YBL039W-B_mRNA,1466441,P0C268
S000003565,,YJL028W,YJL028W_mRNA,YJL028W_mRNA,853425,P47062
S000003987,PAU18,YLL064C,YLL064C_mRNA,YLL064C_mRNA,850662,P0CE90
S000005025,SWS2,YNL081C,YNL081C_mRNA,YNL081C_mRNA,855643,P53937
S000005144,NADHX epimerase,YNL200C,YNL200C_mRNA,YNL200C_mRNA,855521,P40165
S000001026,SBP1,YHL034C,YHL034C_mRNA,YHL034C_mRNA,856351,P10080
S000004727,ADE17,YMR120C,YMR120C_mRNA,YMR120C_mRNA,855149,P38009
S000003978,YCT1,YLL055W,YLL055W_mRNA,YLL055W_mRNA,850671,Q12235
S000000916,BEB1,YER114C,YER114C_mRNA,YER114C_mRNA,856850,P39969
S000001809,SIR1,YKR101W,YKR101W_mRNA,YKR101W_mRNA,853976,P21691
S000000068,YARCTyA1-1,,,,851269,P0CX57
S000003210,KAP114,YGL241W,YGL241W_mRNA,YGL241W_mRNA,852610,P53067
S000004948,PET8,YNL003C,YNL003C_mRNA,YNL003C_mRNA,855729,P38921
